  aid   | bid | abalance |  type   |           iban           |               owner               |              email               |      phone       |         created          |   account_number   
  25397 |   1 |    10687 | savings | CZ8319826997182184624554 | Eduard Havel                      | cermakartur@seznam.cz            | +420 602 194 947 | Wed 17 Jan 2024, 11:01PM | gBVGX-25397-MejeW
  25433 |   1 |    46970 | savings | CZ8022758806959019631090 | Julie Bílková                     | qvacek@seznam.cz                 | +420 703 306 641 | Sun 14 Jan 2024, 02:44PM | mKtyJ-25433-BOUtX
  25442 |   1 |     9079 | savings | CZ7011421700913839218239 | Rostislav Dostál                  | druzicka@seznam.cz               | +420 607 453 771 | Tue 16 Jan 2024, 02:36PM | DbQcx-25442-RoTBl
  25462 |   1 |    20069 | savings | CZ6276081963012576542416 | Mojmír Hájek                      | brozovakamila@seznam.cz          | +420 602 379 012 | Thu 18 Jan 2024, 11:56AM | hSifX-25462-efQnp
  25509 |   1 |        0 | savings | CZ9186652483780413256862 | Radim Švec                        | lprochazkova@seznam.cz           | +420 602 411 922 | Thu 18 Jan 2024, 11:18AM | YSMkF-25509-xSOdW
  25530 |   1 |        0 | savings | CZ2429002907515100591389 | Renáta Kopecká                    | ysedlackova@seznam.cz            | +420 604 048 792 | Fri 12 Jan 2024, 01:55AM | fIZKt-25530-AuKVH
  25531 |   1 |        0 | savings | CZ7300249653920038163440 | Stanislava Ševčíková              | dobroslav95@seznam.cz            | +420 604 178 887 | Mon 15 Jan 2024, 07:06PM | nQVJg-25531-DqRJZ
  25544 |   1 |        0 | savings | CZ7418698461243826087773 | Sabina Šimková                    | josef63@seznam.cz                | +420 703 350 257 | Sat 13 Jan 2024, 07:37PM | OplXT-25544-RinxD
  25596 |   1 |        0 | savings | CZ4641031794790102531710 | Olivie Procházková                | simkovaalzbeta@seznam.cz         | +420 601 497 587 | Sat 13 Jan 2024, 01:26PM | qgdSU-25596-tZFjH
  25621 |   1 |    -6681 | savings | CZ6450211593861214557070 | Ignác Švec                        | vratislavfiala@seznam.cz         | +420 604 550 316 | Sat 13 Jan 2024, 01:00PM | CGPQt-25621-RFWIG
  25675 |   1 |        0 | savings | CZ1616312483771636767272 | Jan Kopecký                       | drahoslavvitek@seznam.cz         | +420 605 743 038 | Sun 14 Jan 2024, 05:39AM | BPrUT-25675-UklYh
  25645 |   1 |      365 | savings | CZ1930630061974956520055 | Jindřich Procházka                | malamiroslava@seznam.cz          | +420 736 952 057 | Wed 17 Jan 2024, 02:25AM | ADzar-25645-unfdu
  25746 |   1 |    18577 | savings | CZ5129038931416765179286 | Miloslav Horváth                  | stejskalovaandrea@seznam.cz      | +420 705 349 401 | Fri 12 Jan 2024, 05:04PM | OQMWi-25746-rjiMK
  25790 |   1 |      408 | savings | CZ7606913764875852820797 | Petr Ježek                        | vacekmichael@seznam.cz           | +420 606 857 085 | Fri 12 Jan 2024, 02:28AM | GdVab-25790-KtXZf
  25810 |   1 |    19704 | savings | CZ5059615802818153632268 | Ignác Soukup                      | vavramilan@seznam.cz             | +420 723 114 045 | Wed 17 Jan 2024, 12:45AM | EAdjO-25810-KeUvw
  25860 |   1 |        0 | savings | CZ4548932288775797758244 | Hynek Malý                        | gblaha@seznam.cz                 | +420 703 783 793 | Thu 18 Jan 2024, 06:51PM | GVyqK-25860-yTeVz
  25867 |   1 |        0 | savings | CZ0933024422806729234606 | Robin Kolář                       | romandolezal@seznam.cz           | +420 605 243 539 | Thu 18 Jan 2024, 03:17PM | NOZBw-25867-gszyT
  25895 |   1 |        0 | savings | CZ8028025676301012993884 | Olivie Macháčková                 | jaroslava57@seznam.cz            | +420 702 391 117 | Tue 16 Jan 2024, 11:54PM | Tlsii-25895-YJiAz
  25875 |   1 |    63170 | savings | CZ9449737405262732564055 | Evelína Kučerová                  | sabinasoukupova@seznam.cz        | +420 735 111 519 | Tue 16 Jan 2024, 02:19AM | LCqEC-25875-MBPgU
  25898 |   1 |        0 | savings | CZ0943926241271963549377 | RNDr. Denis Prokop                | katerinakasparova@seznam.cz      | +420 605 020 245 | Thu 18 Jan 2024, 06:44AM | sbKKH-25898-ABLuP
  25933 |   1 |        0 | savings | CZ8952022846374080961831 | Marek Toman                       | holubmarian@seznam.cz            | +420 605 790 785 | Sun 14 Jan 2024, 07:06AM | BFSuS-25933-sYoNe
  25938 |   1 |        0 | savings | CZ5128941225487633489082 | Blahoslav Kolář                   | buresovakveta@seznam.cz          | +420 703 932 752 | Fri 12 Jan 2024, 04:11AM | gFFIJ-25938-bfDfS
  25948 |   1 |     6359 | savings | CZ7027960476937668235303 | Jaroslav Veselý                   | cberankova@seznam.cz             | +420 604 099 567 | Fri 12 Jan 2024, 04:03PM | jyfIh-25948-PmiHd
  26002 |   1 |     7394 | savings | CZ1723233598908203178799 | Ilona Horváthová                  | blahovablazena@seznam.cz         | +420 703 714 382 | Sat 13 Jan 2024, 05:58PM | ApfXM-26002-YoLbN
  26005 |   1 |    19531 | savings | CZ2690850805571541613840 | René Sedláček                     | kralovajirina@seznam.cz          | +420 777 079 216 | Thu 18 Jan 2024, 04:43PM | femdp-26005-sZVRr
  26073 |   1 |        0 | savings | CZ6394777175591336079188 | Nela Jarošová                     | lydiestrnadova@seznam.cz         | +420 608 312 725 | Sun 14 Jan 2024, 09:33PM | yTHGl-26073-xkrcK
  26056 |   1 |     2177 | savings | CZ0283447171335199265179 | Dana Marková                      | havlicekvilem@seznam.cz          | +420 601 785 827 | Thu 18 Jan 2024, 09:56PM | fRKDV-26056-tejNg
  26039 |   1 |    -2834 | savings | CZ8191837286970935624404 | Marcel Fiala                      | kubicekjan@seznam.cz             | +420 735 715 699 | Fri 12 Jan 2024, 06:03AM | EQYju-26039-LWAVD
  26078 |   1 |        0 | savings | CZ6065058455880151794232 | Ladislava Němečková               | jarosovasarka@seznam.cz          | +420 790 812 954 | Sun 14 Jan 2024, 09:37PM | VsOcm-26078-FizpZ
  26116 |   1 |        0 | savings | CZ2168647855575177892757 | Božena Šťastná                    | rpavlik@seznam.cz                | +420 607 357 388 | Wed 17 Jan 2024, 04:01AM | dcAaY-26116-UDBGk
  26096 |   1 |     1427 | savings | CZ0842131034115774485445 | Matyáš Horák                      | machacekblahoslav@seznam.cz      | +420 702 203 225 | Sat 13 Jan 2024, 08:23PM | ImXlq-26096-bunCv
  26114 |   1 |   -16148 | savings | CZ8324388403951160927284 | Magdalena Macháčková              | horakrene@seznam.cz              | +420 607 285 114 | Mon 15 Jan 2024, 12:03AM | oYVbo-26114-fMhBP
  26227 |   1 |        0 | savings | CZ8437442921637053637998 | Miloslav Vítek                    | pavlikovazuzana@seznam.cz        | +420 602 148 664 | Wed 17 Jan 2024, 01:09PM | wNZln-26227-jtAoM
  26234 |   1 |        0 | savings | CZ1850653346861308224131 | Marek Dušek                       | rhorak@seznam.cz                 | +420 603 970 756 | Thu 18 Jan 2024, 08:32AM | cnicz-26234-wBLWt
  26270 |   1 |    18553 | savings | CZ2231442203915867995064 | Karel Urban                       | xberan@seznam.cz                 | +420 704 798 086 | Tue 16 Jan 2024, 03:46PM | aTqEZ-26270-jmfVV
  26310 |   1 |    17010 | savings | CZ1951527338386844225564 | Denis Němeček                     | noracermakova@seznam.cz          | +420 703 549 343 | Thu 18 Jan 2024, 06:37AM | VNDWa-26310-qCOSs
  26300 |   1 |    32264 | savings | CZ2814508458863131092335 | slečna Adéla Horáčková            | gmusilova@seznam.cz              | +420 702 581 515 | Sun 14 Jan 2024, 06:26AM | XQNru-26300-fXqqN
  26364 |   1 |     1623 | savings | CZ7156595732868699889872 | Alois Soukup                      | sevcikovamagdalena@seznam.cz     | +420 770 698 684 | Sun 14 Jan 2024, 05:42AM | bvTLg-26364-DeIJB
  26353 |   1 |    -3417 | savings | CZ7940495279347268982573 | Pavlína Fišerová                  | kolarvaclav@seznam.cz            | +420 604 686 627 | Thu 18 Jan 2024, 07:19PM | Oowrf-26353-PnrPf
  26454 |   1 |        0 | savings | CZ4538951868564444174460 | Zikmund Zeman                     | magdalenamatejkova@seznam.cz     | +420 608 516 408 | Wed 17 Jan 2024, 09:55PM | NNtnu-26454-ClGKn
  26455 |   1 |        0 | savings | CZ9668680312447166487258 | Drahoslav Urban                   | marceltoman@seznam.cz            | +420 703 886 271 | Fri 12 Jan 2024, 04:49AM | gfbhc-26455-hjOZW
  26480 |   1 |        0 | savings | CZ1651597106447061684979 | Dominik Jelínek                   | ujezek@seznam.cz                 | +420 771 814 145 | Fri 12 Jan 2024, 08:26PM | EWJGG-26480-UxLqZ
  26481 |   1 |     2653 | savings | CZ4933915818655487852146 | Tereza Nováková                   | andelaticha@seznam.cz            | +420 724 791 308 | Sat 13 Jan 2024, 11:54AM | EIeNx-26481-XdBzc
  26621 |   1 |        0 | savings | CZ0414578013932126246426 | Klaudie Burešová                  | ruzickovablazena@seznam.cz       | +420 704 010 286 | Wed 17 Jan 2024, 02:15PM | xvdQx-26621-CJRHN
  26647 |   1 |        0 | savings | CZ0868642910948535712142 | Ivo Vaněk                         | vlasta67@seznam.cz               | +420 705 044 591 | Thu 18 Jan 2024, 07:10AM | yqYhc-26647-HdHHH
  26686 |   1 |     6489 | savings | CZ0720050992264675442228 | Linda Müllerová                   | zprokop@seznam.cz                | +420 605 648 181 | Fri 12 Jan 2024, 03:30AM | cJuQF-26686-NqqyN
  26721 |   1 |    -8007 | savings | CZ8855937793213187097844 | Hedvika Moravcová                 | nemeckovaalexandra@seznam.cz     | +420 606 547 515 | Sun 14 Jan 2024, 07:00AM | fnGKc-26721-nqinG
  26709 |   1 |     7819 | savings | CZ7606735073942724142758 | Denisa Kašparová                  | krizovailona@seznam.cz           | +420 702 131 889 | Tue 16 Jan 2024, 01:44PM | Bdude-26709-Pynre
  26775 |   1 |        0 | savings | CZ3905527800193983591381 | Zuzana Kratochvílová              | dusan35@seznam.cz                | +420 702 310 451 | Fri 12 Jan 2024, 07:05AM | xCbmF-26775-aQVkh
  26805 |   1 |        0 | savings | CZ0758738292866421617359 | Apolena Navrátilová               | anovotna@seznam.cz               | +420 604 097 231 | Tue 16 Jan 2024, 12:49AM | tgLqM-26805-meRPu
  26791 |   1 |    21012 | savings | CZ9236582823856294097529 | Ludmila Beranová                  | jonasurban@seznam.cz             | +420 779 294 744 | Tue 16 Jan 2024, 09:41AM | OzYSB-26791-bbYVe
  26854 |   1 |     2392 | savings | CZ2121010091379547229681 | Karolína Žáková                   | npetrova@seznam.cz               | +420 603 599 990 | Wed 17 Jan 2024, 09:54PM | fDMlN-26854-qCmFC
  26924 |   1 |        0 | savings | CZ0798448802946314610054 | Jaroslav Bednář                   | zemanbohumir@seznam.cz           | +420 605 468 911 | Mon 15 Jan 2024, 08:56AM | lvXzN-26924-UnfyD
  26942 |   1 |        0 | savings | CZ0702155142830775037129 | Zikmund Kubíček                   | dostalvit@seznam.cz              | +420 704 988 516 | Mon 15 Jan 2024, 08:28AM | JybJy-26942-zvAGU
  26948 |   1 |    13052 | savings | CZ3649855505062910246189 | Slavomír Kopecký                  | cermakfelix@seznam.cz            | +420 601 909 033 | Sat 13 Jan 2024, 03:59AM | bdSRG-26948-liObj
  26957 |   1 |        0 | savings | CZ1063124289827797982686 | Svatoslav Prokop                  | marekmoravec@seznam.cz           | +420 791 982 202 | Fri 12 Jan 2024, 09:52PM | dWvfk-26957-kxfft
  26984 |   1 |        0 | savings | CZ2995424110799349855783 | Lukáš Novák                       | bartarudolf@seznam.cz            | +420 608 216 824 | Mon 15 Jan 2024, 01:02PM | gLFKG-26984-ieBVD
  27022 |   1 |        0 | savings | CZ7667244880862893366715 | Patrik Kučera                     | ivonabednarova@seznam.cz         | +420 606 839 743 | Sat 13 Jan 2024, 05:23PM | idydZ-27022-eGlZd
  27038 |   1 |        0 | savings | CZ4018303436616849899498 | Radomír Šťastný                   | viktorbures@seznam.cz            | +420 604 537 207 | Mon 15 Jan 2024, 03:40PM | UwVsz-27038-BBSIg
  27040 |   1 |        0 | savings | CZ1698919323379103620647 | Ilona Štěpánková                  | vitkovaruzena@seznam.cz          | +420 604 097 360 | Thu 18 Jan 2024, 03:20PM | UXqeA-27040-rGSXi
  27058 |   1 |        0 | savings | CZ8881645472569530689720 | Jakub Konečný                     | vbenes@seznam.cz                 | +420 603 157 025 | Tue 16 Jan 2024, 08:17AM | oBtwE-27058-tPyKk
  27104 |   1 |        0 | savings | CZ0564388065654882248588 | Kamil Bureš                       | kovarovanatalie@seznam.cz        | +420 790 646 954 | Sun 14 Jan 2024, 09:27PM | rACbe-27104-hkXks
  27115 |   1 |        0 | savings | CZ1466474670270154690615 | Marcel Pokorný                    | kralovalibuse@seznam.cz          | +420 793 605 566 | Fri 12 Jan 2024, 04:20PM | ZNsqy-27115-aUhvj
  27119 |   1 |     6343 | savings | CZ3382138024620204445599 | Ester Kubíčková                   | xkopecky@seznam.cz               | +420 607 172 557 | Tue 16 Jan 2024, 07:06AM | vslBV-27119-XBFjG
  27138 |   1 |        0 | savings | CZ4424879964020409874836 | Bohumil Kraus                     | pavlikovazdislava@seznam.cz      | +420 734 906 453 | Sat 13 Jan 2024, 09:03AM | DQjol-27138-SYbyP
  27223 |   1 |        0 | savings | CZ9218638763520321089160 | Vilma Němečková                   | ivandolezal@seznam.cz            | +420 790 616 543 | Sun 14 Jan 2024, 05:05AM | uqIEy-27223-Udags
  27227 |   1 |        0 | savings | CZ2225810242149975050780 | Slavomír Havlíček                 | martina57@seznam.cz              | +420 603 771 705 | Sat 13 Jan 2024, 02:32PM | ZvFLO-27227-Lkibl
  27290 |   1 |        0 | savings | CZ5871989942276345957933 | Natálie Matoušková                | jaromir00@seznam.cz              | +420 702 207 424 | Thu 18 Jan 2024, 06:59PM | dfXYO-27290-jxkQX
  27276 |   1 |     3625 | savings | CZ2980081684055784703368 | Růžena Sýkorová                   | prokophorymir@seznam.cz          | +420 702 665 762 | Sat 13 Jan 2024, 07:53PM | xQOhx-27276-NQCBp
  27261 |   1 |     4621 | savings | CZ5637021219670002457189 | Šimon Konečný                     | radimvalenta@seznam.cz           | +420 777 488 952 | Sun 14 Jan 2024, 09:57AM | Oygke-27261-HagxB
  27283 |   1 |     -281 | savings | CZ8052601738166170353310 | Radomír Polák                     | blazekoldrich@seznam.cz          | +420 723 599 323 | Fri 12 Jan 2024, 01:36AM | uHPZu-27283-xkrUA
  27318 |   1 |        0 | savings | CZ4578107690180854143427 | Světlana Kučerová                 | cvankova@seznam.cz               | +420 705 838 128 | Sat 13 Jan 2024, 08:54PM | qLMvC-27318-SmnlY
  27316 |   1 |      372 | savings | CZ2420582961404585285573 | Matyáš Musil                      | miloslavpospisil@seznam.cz       | +420 605 860 556 | Tue 16 Jan 2024, 03:54PM | QuCVN-27316-DBLqs
  27328 |   1 |     4998 | savings | CZ2440195451825421201586 | Mikuláš Beran                     | svecovaradka@seznam.cz           | +420 702 643 233 | Mon 15 Jan 2024, 10:36PM | WEyJJ-27328-ZXprj
  27323 |   1 |    -1933 | savings | CZ1902744722731334344620 | Jan Šmíd                          | ghajek@seznam.cz                 | +420 704 939 940 | Tue 16 Jan 2024, 10:22AM | plhpF-27323-nkamm
  27415 |   1 |    10359 | savings | CZ6339352829503476954748 | Robin Kolář                       | xhavlickova@seznam.cz            | +420 602 194 996 | Tue 16 Jan 2024, 01:57AM | TUdPi-27415-zSQLQ
  27423 |   1 |     5176 | savings | CZ9536188432594257551577 | Miroslav Mach                     | krejcovadrahomira@seznam.cz      | +420 604 740 356 | Tue 16 Jan 2024, 02:38AM | QITPH-27423-oKZPT
  27465 |   1 |        0 | savings | CZ5540149471437303437017 | Martin Ševčík                     | marianhorak@seznam.cz            | +420 606 063 762 | Thu 18 Jan 2024, 02:42AM | HeXLZ-27465-KrvFm
  27448 |   1 |    31728 | savings | CZ5670910066886446542924 | Luděk Dušek                       | pavliksamuel@seznam.cz           | +420 602 957 845 | Fri 12 Jan 2024, 04:33AM | qonol-27448-wuYlx
  27449 |   1 |     5650 | savings | CZ7590201092022850534779 | Otýlie Soukupová                  | gkopecky@seznam.cz               | +420 739 130 519 | Mon 15 Jan 2024, 01:09PM | sXmaO-27449-VnBjb
  85967 |   1 |      680 | savings | CZ3118069301692177002464 | Edita Dostálová                   | pkucera@seznam.cz                | +420 603 095 074 | Mon 15 Jan 2024, 08:53AM | XBfDh-85967-nkVfD
  27485 |   1 |     5824 | savings | CZ1137815319749858057500 | Ema Ševčíková                     | dolezalovazaneta@seznam.cz       | +420 603 712 663 | Thu 18 Jan 2024, 09:35AM | HYNKA-27485-eIkQj
  27521 |   1 |    10257 | savings | CZ2690120925245671278694 | Miloslav Doležal                  | xtichy@seznam.cz                 | +420 604 480 929 | Fri 12 Jan 2024, 01:44AM | BdpED-27521-eWHKo
  27505 |   1 |    -1297 | savings | CZ6345764705996163696010 | Agáta Horváthová                  | beranradomir@seznam.cz           | +420 703 702 950 | Fri 12 Jan 2024, 02:51PM | fnAfU-27505-WUoAl
  27533 |   1 |        0 | savings | CZ5815683459038938219343 | Radek Bednář                      | strnadovaandela@seznam.cz        | +420 601 021 827 | Sat 13 Jan 2024, 12:13PM | awWpl-27533-xnPzv
  27557 |   1 |     8624 | savings | CZ1659600340489081210199 | Soňa Soukupová                    | veselymatyas@seznam.cz           | +420 604 544 985 | Sat 13 Jan 2024, 03:19PM | Theol-27557-cqecN
  27629 |   1 |        0 | savings | CZ1010087377458792937694 | Matouš Veselý                     | beranovajohana@seznam.cz         | +420 604 187 828 | Sun 14 Jan 2024, 12:24PM | TVdYs-27629-mNZKv
  27636 |   1 |   -48178 | savings | CZ4443304043780874790760 | Bohumil Bureš                     | radka43@seznam.cz                | +420 605 086 987 | Sun 14 Jan 2024, 07:35AM | lAHIB-27636-MpMWo
  27675 |   1 |    22236 | savings | CZ9819860206098599687711 | Matyáš Doležal                    | rvesela@seznam.cz                | +420 601 175 262 | Mon 15 Jan 2024, 10:45PM | cHOsG-27675-sGbuB
  27738 |   1 |        0 | savings | CZ0715189741024361597332 | Naděžda Bláhová                   | cechovavera@seznam.cz            | +420 605 335 657 | Wed 17 Jan 2024, 09:46AM | olPax-27738-tVKVE
  27758 |   1 |        0 | savings | CZ5740727864869041359069 | Miloslav Fiala                    | tomanstefan@seznam.cz            | +420 601 062 018 | Thu 18 Jan 2024, 03:07PM | yyYez-27758-VBwff
  27789 |   1 |    -5648 | savings | CZ4145837205065106555956 | Vlasta Blažek                     | radoslavdusek@seznam.cz          | +420 720 399 427 | Thu 18 Jan 2024, 05:09AM | MnWnW-27789-FvadK
  27787 |   1 |     5105 | savings | CZ0431408950005210780879 | Blažena Doležalová                | novakovasabina@seznam.cz         | +420 705 963 788 | Tue 16 Jan 2024, 08:03PM | QgFzn-27787-SuNtS
  27858 |   1 |        0 | savings | CZ7089135008066769430978 | Zbyněk Prokop                     | kolarovapavlina@seznam.cz        | +420 731 939 408 | Tue 16 Jan 2024, 10:16PM | UbdhV-27858-ifeuN
  27951 |   1 |        0 | savings | CZ4980725995276523258177 | Ludmila Sedláčková                | nhorvathova@seznam.cz            | +420 603 065 958 | Sat 13 Jan 2024, 01:09AM | jPyYN-27951-JSyBq
 141040 |   2 |    -1613 | savings | CZ5462709743251685270261 | Ludmila Němečková                 | krizdrahoslav@seznam.cz          | +420 770 815 510 | Sun 14 Jan 2024, 09:03PM | kCvyR-141040-eJFKW
